"anxiety","flexibility","mindfulness","activity"
50.172439534171,44.3952435344779,"no","pilates"
31.4745075943142,47.6982251051672,"yes","altro"
34.0398067178748,65.5870831414912,"no","pilates"
37.0671199271216,50.7050839142458,"no","altro"
48.3054880436364,51.2928773516095,"no","altro"
16.9408741883582,67.1506498688328,"yes","altro"
36.4117043432486,54.609162059892,"no","pilates"
28.7952996789542,37.3493876539347,"yes","pilates"
43.9354517762363,43.1314714810647,"no","pilates"
34.9830041754162,45.5433802990004,"no","yoga"
11.4462748162846,62.2408179743946,"yes","yoga"
29.1129309258952,53.5981382705736,"no","yoga"
48.4340901617582,54.0077145059405,"no","pilates"
29.1452083523443,51.1068271594512,"yes","altro"
31.2656133296405,44.4415886524593,"yes","yoga"
1.48310969109019,67.8691313680308,"yes","pilates"
24.2490575024211,54.9785047822924,"yes","altro"
40.3889086384471,30.3338284337036,"yes","altro"
10.9758777922246,57.0135590156369,"yes","yoga"
47.0970028097601,45.2720859227207,"no","yoga"
27.3983563430605,39.3217629401315,"yes","pilates"
25.1177757046482,47.8202508534171,"yes","yoga"
33.4142125660491,39.7399555169276,"yes","yoga"
46.5354070885458,42.7110877070886,"no","pilates"
43.7489189517687,43.7496073215074,"no","altro"
58.1392955873329,33.1330668925759,"no","altro"
33.6640051867316,58.3778704449452,"no","yoga"
23.6088986432342,51.5337311783652,"yes","altro"
35.7504394470494,38.6186306298805,"no","yoga"
46.1645125671161,62.5381492106993,"no","pilates"
20.6222347225701,54.2646422147681,"yes","pilates"
14.7876421113557,47.0492851700773,"yes","yoga"
40.1906685085431,58.9512566104502,"no","pilates"
25.4042168675732,58.7813348753304,"yes","altro"
31.1229229131996,58.2158108163749,"no","pilates"
23.8420166615898,56.8864025410009,"no","yoga"
25.5410638394439,55.5391765353759,"yes","altro"
33.1303634325842,49.3808828942328,"yes","pilates"
32.3223588220902,46.9403733626008,"yes","pilates"
36.437667884252,46.1952899898762,"no","yoga"
27.6920076945217,43.0529302107949,"yes","pilates"
32.8107547298899,47.920827219804,"yes","altro"
31.6445411970586,37.3460364843174,"yes","yoga"
37.3037789067711,71.6895596533851,"no","altro"
28.9812002570306,62.0796199830499,"no","yoga"
34.3585303484389,38.7689141679665,"yes","yoga"
28.6661362104123,45.9711516470092,"yes","altro"
37.6805532675163,45.3334464637678,"no","yoga"
44.8042470269479,57.7996511833632,"no","altro"
27.5334415084384,49.1663093352817,"yes","yoga"
18.5342468947698,52.5331851399475,"yes","altro"
22.7357793225217,49.714532446513,"yes","yoga"
45.2582473451297,49.5712954270868,"no","pilates"
5.16566244444564,63.6860228401446,"yes","yoga"
25.983524898991,47.7422901434073,"yes","yoga"
12.2438344170092,65.1647060442954,"yes","pilates"
45.9425346904337,34.5124719576978,"yes","altro"
36.7693414123329,55.8461374963607,"no","yoga"
32.9782817680657,51.2385424384461,"yes","altro"
44.5238888027153,52.1594156874397,"no","altro"
31.6607657914696,53.7963948275988,"yes","altro"
40.4188368133378,44.976765468907,"yes","altro"
56.4972769956253,46.6679261633058,"no","altro"
28.9880524080043,39.8142461689291,"yes","yoga"
36.1137006807159,39.2820877352442,"no","pilates"
43.6399868159487,53.0352864140426,"no","altro"
27.8903375918439,54.4820977862943,"yes","altro"
35.9582521306255,50.530042267305,"no","yoga"
23.3855708287272,59.2226746787974,"yes","pilates"
39.8029663944356,70.5008468562714,"no","altro"
41.8652436794436,45.0896883394346,"no","pilates"
36.6937054937051,26.9083112435919,"yes","yoga"
38.9605184216904,60.0573852446226,"no","pilates"
37.7948851054663,42.9079923741761,"no","yoga"
40.896379999778,43.1199138353264,"no","yoga"
13.0124624176966,60.255713696967,"yes","altro"
23.3939124423689,47.1522699294899,"yes","pilates"
36.4648111832521,37.7928228774546,"no","yoga"
31.825364117618,51.8130347974915,"no","yoga"
42.2279341725419,48.6110863756096,"no","altro"
31.8711764114326,50.0576418589989,"yes","altro"
29.2136022047289,53.8528040112633,"yes","pilates"
25.9577025771092,46.2933996820759,"yes","pilates"
20.5051692484781,56.4437654851883,"yes","altro"
23.3349616377837,47.7951343818125,"yes","pilates"
22.6045826207718,53.317819639157,"yes","pilates"
13.1269815671917,60.9683901314935,"yes","yoga"
37.2421802150223,54.351814908338,"no","yoga"
37.0230337168142,46.7406841446877,"no","yoga"
28.8635155634444,61.4880761845109,"no","altro"
31.5753093424387,59.9350385596212,"no","yoga"
24.0971553367013,55.4839695950807,"yes","yoga"
34.2868841967715,52.3873173511144,"yes","altro"
44.1947142896407,43.7209392396063,"no","altro"
30.4578550391621,63.6065244853001,"no","altro"
43.4921195693563,43.9974041285287,"yes","pilates"
33.25122532252,71.8733299301658,"no","altro"
28.849690618546,65.3261062618519,"no","yoga"
45.2813727389931,47.6429964089952,"no","pilates"
34.0619072184383,39.7357909969322,"no","yoga"
23.3317503899387,42.895934363007,"yes","yoga"
36.0133694277673,52.5688370915653,"no","altro"
34.7679863222589,47.5330812153763,"no","yoga"
30.0270453608069,46.5245740060227,"yes","pilates"
39.9345455463905,40.4838143273498,"no","pilates"
33.265107470499,49.5497227519108,"yes","altro"
33.9410514302862,42.1509553054292,"yes","pilates"
40.8186345548375,33.3205806341186,"no","yoga"
40.0327573133441,46.1977347971224,"no","yoga"
44.1454227671654,59.1899660906077,"no","altro"
39.3329050045675,44.2465303739161,"yes","altro"
16.6800083511921,56.0796432222503,"yes","yoga"
32.8569949884689,33.8211729171084,"yes","yoga"
29.9553630837622,49.4443803447546,"yes","altro"
41.6102727605579,55.1940720394346,"no","yoga"
46.1195926505564,53.0115336216671,"no","pilates"
48.6436268680405,51.0567619414894,"no","altro"
46.7668260423234,43.5929399169462,"no","altro"
37.8141375930671,41.5029565396642,"yes","altro"
44.137095609128,39.7587120939509,"no","yoga"
39.2034005430528,51.1764659710013,"no","altro"
24.9907997226899,40.525253858152,"yes","pilates"
